z_obs pos_0[rad] pos_1[rad] mag_SDSS_u mag_SDSS_g mag_SDSS_r mag_SDSS_i mag_SDSS_z mag_J mag_H mag_K Mstar
0.589574 -0.000887400015594 0.000913946331606 26.6685 26.3694 25.5336 25.0678 24.8898 24.6042 24.4499 24.4042 6.89353963899
0.559844 -0.000708700015594 0.000379366331606 24.5656 24.2135 23.335 22.8236 22.6174 22.3115 22.1547 22.0976 8.54053090242
0.550777 -0.000995000015594 0.00116168633161 26.6094 26.1628 25.1991 24.6557 24.4352 24.1037 23.9242 23.8616 7.14041080085
0.55088 -0.000798000015594 0.00110781633161 26.5804 26.0368 25.0083 24.402 24.1382 23.7596 23.5625 23.4833 7.78235732262
0.541767 -0.00116560001559 0.000552766331606 23.233 22.7522 21.8507 21.2731 20.9987 20.5554 20.2736 20.1669 9.69445217411
0.570982 -0.00115730001559 0.000469686331606 26.6015 26.0331 25.0054 24.4389 24.2047 23.853 23.6634 23.589 7.54820218372
0.544203 -0.000767200015594 0.000459466331606 28.6513 26.9964 25.6132 24.8226 24.4669 24.0471 23.8681 23.7898 7.47534675401
0.54128 -0.00142130001559 0.000710306331606 26.6721 26.1619 25.0921 24.4843 24.2349 23.8756 23.6865 23.6252 7.81747058798
0.551278 -0.00141140001559 0.00104453633161 25.6146 25.282 24.4266 23.8509 23.5805 23.1792 22.9661 22.8918 8.08686753156
0.583927 -0.00106490001559 0.00122125633161 23.4876 23.5481 23.1674 22.9311 22.8591 22.724 22.633 22.6311 8.47380735628
0.587468 -0.000646100015594 0.00129209633161 29.1529 27.8285 26.5149 25.7958 25.4738 25.0902 24.956 24.9003 6.41191719263
0.542239 -0.000649500015594 0.00120075633161 26.7513 26.5094 25.7021 25.1784 24.9423 24.6069 24.4565 24.4063 7.13535920783
0.560667 -0.000552600015594 0.00129955633161 27.1934 26.5716 25.4581 24.7903 24.4995 24.1017 23.9086 23.8374 7.70945084539
0.584127 -0.000509600015594 0.00139187633161 27.571 24.9974 23.3972 22.3731 21.8993 21.2958 20.9367 20.813 9.07926515318
0.529248 -0.00112550001559 0.000490026331606 22.6361 21.9731 20.9198 20.2457 19.9176 19.4047 19.0593 18.9244 9.88475499688
